pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"HATS-62 b","HATS-62",312.4493079,-24.3035060,523.06700000,14.1710000,2018,"Transit"
"Kepler-1408 b","Kepler-1408",282.6998783,45.4257884,535.04800000,12.1240000,2016,"Transit"
"Kepler-578 b","Kepler-578",288.7549882,39.5636960,541.43200000,14.5780000,2016,"Transit"
"Kepler-338 b","Kepler-338",282.9790593,40.7844188,552.79800000,12.1900000,2014,"Transit"
"Kepler-780 b","Kepler-780",281.7663511,44.2924898,557.65200000,13.4640000,2016,"Transit"
"Kepler-1771 b","Kepler-1771",292.0134714,49.0191267,565.75200000,13.8020000,2021,"Transit"
"Kepler-1248 b","Kepler-1248",288.0592191,51.3544564,593.02600000,12.9000000,2016,"Transit"
"Kepler-1995 b","Kepler-1995",284.3427250,46.3165907,595.33100000,15.5160000,2023,"Transit"
"TOI-5592 b","TOI-5592",106.6800684,65.8572490,597.02600000,12.6140000,2025,"Transit"
"Kepler-310 b","Kepler-310",288.8392780,46.9867472,602.26800000,14.3760000,2014,"Transit"
"Kepler-520 b","Kepler-520",293.1802903,41.6177408,623.90100000,12.7980000,2016,"Transit"
"Kepler-1664 b","Kepler-1664",286.8527157,49.2616668,626.69100000,13.6210000,2020,"Transit"
"Kepler-522 b","Kepler-522",288.1539730,44.0688154,639.23900000,12.2200000,2016,"Transit"
"Kepler-57 c","Kepler-57",293.6413146,44.6570692,644.14000000,15.0170000,2012,"Transit"
"Kepler-239 b","Kepler-239",294.2020505,40.6633313,648.10900000,15.2520000,2014,"Transit"
"BD+48 740 b","BD+48 740",40.7425426,48.9300579,666.58900000,8.6900000,2018,"Radial Velocity"
"Kepler-464 b","Kepler-464",294.8351052,48.9823204,667.60400000,12.7500000,2016,"Transit"
"Kepler-633 b","Kepler-633",295.2173259,40.5921599,680.54000000,13.8120000,2016,"Transit"
"Kepler-1827 b","Kepler-1827",292.2525301,40.7927895,686.46100000,13.2280000,2021,"Transit"
"Kepler-586 b","Kepler-586",293.0571982,45.5511266,693.76600000,14.4350000,2016,"Transit"
"Kepler-1435 b","Kepler-1435",291.1732806,44.9210836,704.21100000,12.9840000,2016,"Transit"
"Qatar-7 b","Qatar-7",358.5151344,37.0218242,705.98100000,13.1340000,2019,"Transit"
"Kepler-1681 b","Kepler-1681",296.6972773,46.3716969,758.30000000,14.6460000,2020,"Transit"
"Kepler-751 b","Kepler-751",294.8438103,44.0776872,760.43000000,15.2110000,2016,"Transit"
"Kepler-1206 b","Kepler-1206",295.9383737,49.7911337,762.01900000,15.9710000,2016,"Transit"
"Kepler-1590 b","Kepler-1590",291.4079141,48.0178915,771.15200000,14.1860000,2016,"Transit"
"Kepler-1434 b","Kepler-1434",295.5384415,51.2030002,775.52900000,12.1980000,2016,"Transit"
"Kepler-1300 b","Kepler-1300",289.0330532,40.0869182,777.02500000,12.8610000,2016,"Transit"
"HATS-8 b","HATS-8",294.9416887,-25.7483655,794.63700000,14.5120000,2015,"Transit"
"Kepler-500 b","Kepler-500",295.9513472,43.8519884,807.48000000,14.3240000,2016,"Transit"
"Kepler-371 c","Kepler-371",292.3264835,38.6575441,813.19200000,13.9970000,2014,"Transit"
"Kepler-377 c","Kepler-377",295.4220717,38.7356737,823.80400000,14.0810000,2014,"Transit"
"Kepler-1872 b","Kepler-1872",281.0491988,43.3225996,840.18200000,15.9660000,2021,"Transit"
"Kepler-1127 b","Kepler-1127",293.2173563,42.7205846,842.45900000,15.1620000,2016,"Transit"
"Kepler-1309 b","Kepler-1309",298.7351131,40.7641262,845.00000000,16.5119000,2016,"Transit"
"Kepler-1467 b","Kepler-1467",295.0485389,45.3426781,852.88800000,15.8300000,2016,"Transit"
"Kepler-1344 b","Kepler-1344",287.0862799,46.9457998,853.95900000,14.1920000,2016,"Transit"
